"uuid","skill_name","level"
"cd9974b9-da79-4b19-af78-fefac8849238","AWS IAM","NOVICE"
"c5a1f718-8a18-4b90-8d2a-cf22fb192dae","AWS Inspector","ADVANCED"
"c5a1f718-8a18-4b90-8d2a-cf22fb192dae","AWS IoT Core","INTERMEDIATE"
"11c6f2e8-0110-4ac0-b2a7-9a889ce612f0","AWS IoT Core","NOVICE"
"c5a1f718-8a18-4b90-8d2a-cf22fb192dae","AWS KMS","ADVANCED"
"06b36793-381f-4a5f-8544-dd6a02bb4513","AWS KMS","EXPERT"
"314911bb-28ae-44e0-a70e-a97bc01f0b18","AWS KMS","INTERMEDIATE"
"c5a1f718-8a18-4b90-8d2a-cf22fb192dae","AWS Lambda","EXPERT"
"6e99edbc-18f0-43ec-891f-a597192ed91c","AWS Lambda","NOVICE"
"11c6f2e8-0110-4ac0-b2a7-9a889ce612f0","AWS Lambda","INTERMEDIATE"
"06b36793-381f-4a5f-8544-dd6a02bb4513","AWS Lambda","ADVANCED"
"51259f56-93cf-4c9d-89f3-cd3e767cb80f","AWS Lambda","ADVANCED"
"314911bb-28ae-44e0-a70e-a97bc01f0b18","AWS Lambda","INTERMEDIATE"
"5954d235-8fb1-4af8-8613-67aac403049e","AWS Lambda","INTERMEDIATE"
"c8d91564-77b4-46df-b7a4-8d25a82ad950","AWS Lambda","NOVICE"
"c5a1f718-8a18-4b90-8d2a-cf22fb192dae","AWS Macie","ADVANCED"
"c5a1f718-8a18-4b90-8d2a-cf22fb192dae","AWS RDS","EXPERT"
"6e99edbc-18f0-43ec-891f-a597192ed91c","AWS RDS","ADVANCED"
"06b36793-381f-4a5f-8544-dd6a02bb4513","AWS RDS","ADVANCED"
"51259f56-93cf-4c9d-89f3-cd3e767cb80f","AWS RDS","INTERMEDIATE"
"314911bb-28ae-44e0-a70e-a97bc01f0b18","AWS RDS","INTERMEDIATE"
"c8d91564-77b4-46df-b7a4-8d25a82ad950","AWS RDS","NOVICE"
"c5a1f718-8a18-4b90-8d2a-cf22fb192dae","AWS Route53","ADVANCED"
"06b36793-381f-4a5f-8544-dd6a02bb4513","AWS Route53","ADVANCED"
"51259f56-93cf-4c9d-89f3-cd3e767cb80f","AWS Route53","INTERMEDIATE"
"314911bb-28ae-44e0-a70e-a97bc01f0b18","AWS Route53","INTERMEDIATE"
"5954d235-8fb1-4af8-8613-67aac403049e","AWS Route53","INTERMEDIATE"
"c5a1f718-8a18-4b90-8d2a-cf22fb192dae","AWS S3","EXPERT"
"6e99edbc-18f0-43ec-891f-a597192ed91c","AWS S3","INTERMEDIATE"
"11c6f2e8-0110-4ac0-b2a7-9a889ce612f0","AWS S3","NOVICE"
"06b36793-381f-4a5f-8544-dd6a02bb4513","AWS S3","ADVANCED"
"51259f56-93cf-4c9d-89f3-cd3e767cb80f","AWS S3","INTERMEDIATE"
"314911bb-28ae-44e0-a70e-a97bc01f0b18","AWS S3","ADVANCED"
"5954d235-8fb1-4af8-8613-67aac403049e","AWS S3","INTERMEDIATE"
"c8d91564-77b4-46df-b7a4-8d25a82ad950","AWS S3","INTERMEDIATE"
"cd9974b9-da79-4b19-af78-fefac8849238","AWS S3","NOVICE"
"c5a1f718-8a18-4b90-8d2a-cf22fb192dae","AWS Security Hub","ADVANCED"
"c5a1f718-8a18-4b90-8d2a-cf22fb192dae","AWS SES","ADVANCED"
"6e99edbc-18f0-43ec-891f-a597192ed91c","AWS SES","INTERMEDIATE"
"314911bb-28ae-44e0-a70e-a97bc01f0b18","AWS SES","INTERMEDIATE"
"c5a1f718-8a18-4b90-8d2a-cf22fb192dae","AWS SNS","ADVANCED"
"51259f56-93cf-4c9d-89f3-cd3e767cb80f","AWS SNS","INTERMEDIATE"
"314911bb-28ae-44e0-a70e-a97bc01f0b18","AWS SNS","INTERMEDIATE"
"c5a1f718-8a18-4b90-8d2a-cf22fb192dae","AWS SQS","ADVANCED"
"6e99edbc-18f0-43ec-891f-a597192ed91c","AWS SQS","INTERMEDIATE"
"51259f56-93cf-4c9d-89f3-cd3e767cb80f","AWS SQS","INTERMEDIATE"
"314911bb-28ae-44e0-a70e-a97bc01f0b18","AWS SQS","INTERMEDIATE"
"c5a1f718-8a18-4b90-8d2a-cf22fb192dae","AWS VPC","EXPERT"
"06b36793-381f-4a5f-8544-dd6a02bb4513","AWS VPC","ADVANCED"
"51259f56-93cf-4c9d-89f3-cd3e767cb80f","AWS VPC","INTERMEDIATE"
"51259f56-93cf-4c9d-89f3-cd3e767cb80f","Azure","INTERMEDIATE"
"314911bb-28ae-44e0-a70e-a97bc01f0b18","Azure","INTERMEDIATE"
"c8d91564-77b4-46df-b7a4-8d25a82ad950","Azure","NOVICE"
"314911bb-28ae-44e0-a70e-a97bc01f0b18","Azure App Service","INTERMEDIATE"
"314911bb-28ae-44e0-a70e-a97bc01f0b18","Azure Blob Storage","INTERMEDIATE"
"314911bb-28ae-44e0-a70e-a97bc01f0b18","Azure DevOps","NOVICE"
"c5a1f718-8a18-4b90-8d2a-cf22fb192dae","Babel","ADVANCED"
"6e99edbc-18f0-43ec-891f-a597192ed91c","Babel","INTERMEDIATE"
"06b36793-381f-4a5f-8544-dd6a02bb4513","Babel","NOVICE"
"51259f56-93cf-4c9d-89f3-cd3e767cb80f","Babel","INTERMEDIATE"
"5954d235-8fb1-4af8-8613-67aac403049e","Babel","EXPERT"
"c5a1f718-8a18-4b90-8d2a-cf22fb192dae","Backbone","ADVANCED"
"06b36793-381f-4a5f-8544-dd6a02bb4513","Backbone","INTERMEDIATE"
"51259f56-93cf-4c9d-89f3-cd3e767cb80f","Backbone","INTERMEDIATE"
"11c6f2e8-0110-4ac0-b2a7-9a889ce612f0","Backend Development","INTERMEDIATE"
"c5a1f718-8a18-4b90-8d2a-cf22fb192dae","bamboo","INTERMEDIATE"
"06b36793-381f-4a5f-8544-dd6a02bb4513","bamboo","INTERMEDIATE"
"c5a1f718-8a18-4b90-8d2a-cf22fb192dae","Bash","ADVANCED"
"6e99edbc-18f0-43ec-891f-a597192ed91c","Bash","ADVANCED"
"11c6f2e8-0110-4ac0-b2a7-9a889ce612f0","Bash","NOVICE"
"06b36793-381f-4a5f-8544-dd6a02bb4513","Bash","INTERMEDIATE"
"51259f56-93cf-4c9d-89f3-cd3e767cb80f","Bash","INTERMEDIATE"
"314911bb-28ae-44e0-a70e-a97bc01f0b18","Bash","INTERMEDIATE"
"5954d235-8fb1-4af8-8613-67aac403049e","Bash","ADVANCED"
"c8d91564-77b4-46df-b7a4-8d25a82ad950","Bash","NOVICE"
"cd9974b9-da79-4b19-af78-fefac8849238","Bash","ADVANCED"
"11c6f2e8-0110-4ac0-b2a7-9a889ce612f0","Big Data","NOVICE"
"c8d91564-77b4-46df-b7a4-8d25a82ad950","Big Data","INTERMEDIATE"
"c8d91564-77b4-46df-b7a4-8d25a82ad950","Big O Notation","NOVICE"
"c5a1f718-8a18-4b90-8d2a-cf22fb192dae","BigQuery","ADVANCED"
"6e99edbc-18f0-43ec-891f-a597192ed91c","BigQuery","INTERMEDIATE"
"51259f56-93cf-4c9d-89f3-cd3e767cb80f","BigQuery",
"314911bb-28ae-44e0-a70e-a97bc01f0b18","BigQuery","INTERMEDIATE"
"c8d91564-77b4-46df-b7a4-8d25a82ad950","BigQuery","INTERMEDIATE"
"cd9974b9-da79-4b19-af78-fefac8849238","BigQuery","NOVICE"
"c5a1f718-8a18-4b90-8d2a-cf22fb192dae","bitbucket","ADVANCED"
"bc7343e7-cd47-4d7c-bbca-506add76a7a0","bitbucket","NOVICE"
"6e99edbc-18f0-43ec-891f-a597192ed91c","bitbucket","ADVANCED"
"11c6f2e8-0110-4ac0-b2a7-9a889ce612f0","bitbucket","NOVICE"
"06b36793-381f-4a5f-8544-dd6a02bb4513","bitbucket","INTERMEDIATE"
"51259f56-93cf-4c9d-89f3-cd3e767cb80f","bitbucket","INTERMEDIATE"
"314911bb-28ae-44e0-a70e-a97bc01f0b18","bitbucket","INTERMEDIATE"
"5954d235-8fb1-4af8-8613-67aac403049e","bitbucket","INTERMEDIATE"
"c8d91564-77b4-46df-b7a4-8d25a82ad950","bitbucket","NOVICE"
"c5a1f718-8a18-4b90-8d2a-cf22fb192dae","Bitbucket Pipelines","ADVANCED"
"6e99edbc-18f0-43ec-891f-a597192ed91c","Bitbucket Pipelines","NOVICE"
"5954d235-8fb1-4af8-8613-67aac403049e","Bitbucket Pipelines","INTERMEDIATE"
"bc7343e7-cd47-4d7c-bbca-506add76a7a0","Blockchain","NOVICE"
"11c6f2e8-0110-4ac0-b2a7-9a889ce612f0","Blockchain","NOVICE"
"c5a1f718-8a18-4b90-8d2a-cf22fb192dae","Bootstrap","ADVANCED"
"bc7343e7-cd47-4d7c-bbca-506add76a7a0","Bootstrap","INTERMEDIATE"
"6e99edbc-18f0-43ec-891f-a597192ed91c","Bootstrap","ADVANCED"
"11c6f2e8-0110-4ac0-b2a7-9a889ce612f0","Bootstrap","NOVICE"
"51259f56-93cf-4c9d-89f3-cd3e767cb80f","Bootstrap","INTERMEDIATE"
"314911bb-28ae-44e0-a70e-a97bc01f0b18","Bootstrap","ADVANCED"
"5954d235-8fb1-4af8-8613-67aac403049e","Bootstrap","EXPERT"
"cd9974b9-da79-4b19-af78-fefac8849238","Bootstrap","ADVANCED"
"11c6f2e8-0110-4ac0-b2a7-9a889ce612f0","BPM","NOVICE"
"06b36793-381f-4a5f-8544-dd6a02bb4513","Browser Stack","INTERMEDIATE"
"51259f56-93cf-4c9d-89f3-cd3e767cb80f","Browser Stack","NOVICE"
"c5a1f718-8a18-4b90-8d2a-cf22fb192dae","Business Analysis","ADVANCED"
"bc7343e7-cd47-4d7c-bbca-506add76a7a0","Business Analysis","INTERMEDIATE"
"5954d235-8fb1-4af8-8613-67aac403049e","Business Analysis",
"c5a1f718-8a18-4b90-8d2a-cf22fb192dae","Business Development","ADVANCED"
"11c6f2e8-0110-4ac0-b2a7-9a889ce612f0","Business Intelligence","NOVICE"
"c8d91564-77b4-46df-b7a4-8d25a82ad950","Business Intelligence","NOVICE"
"c8d91564-77b4-46df-b7a4-8d25a82ad950","C (Embedded systems)","NOVICE"
"cd9974b9-da79-4b19-af78-fefac8849238","C (Embedded systems)","ADVANCED"
"bc7343e7-cd47-4d7c-bbca-506add76a7a0","C#","NOVICE"
"6e99edbc-18f0-43ec-891f-a597192ed91c","C#","ADVANCED"
"11c6f2e8-0110-4ac0-b2a7-9a889ce612f0","C#","INTERMEDIATE"
"06b36793-381f-4a5f-8544-dd6a02bb4513","C#","NOVICE"
"51259f56-93cf-4c9d-89f3-cd3e767cb80f","C#","INTERMEDIATE"
"314911bb-28ae-44e0-a70e-a97bc01f0b18","C#","INTERMEDIATE"
"5954d235-8fb1-4af8-8613-67aac403049e","C#","INTERMEDIATE"
"c8d91564-77b4-46df-b7a4-8d25a82ad950","C#","NOVICE"
"bc7343e7-cd47-4d7c-bbca-506add76a7a0","C++","NOVICE"
"6e99edbc-18f0-43ec-891f-a597192ed91c","C++","INTERMEDIATE"
"11c6f2e8-0110-4ac0-b2a7-9a889ce612f0","C++","NOVICE"
"314911bb-28ae-44e0-a70e-a97bc01f0b18","C++","ADVANCED"
"c8d91564-77b4-46df-b7a4-8d25a82ad950","C++","NOVICE"
"cd9974b9-da79-4b19-af78-fefac8849238","C++","INTERMEDIATE"
"c5a1f718-8a18-4b90-8d2a-cf22fb192dae","Caffe","NOVICE"
"c5a1f718-8a18-4b90-8d2a-cf22fb192dae","CakePHP","ADVANCED"
"6e99edbc-18f0-43ec-891f-a597192ed91c","CakePHP","INTERMEDIATE"
