"uuid","skill_name","level"
"69835cef-9c17-4f08-a06d-bd83dcf497b3","Firewall configuration","INTERMEDIATE"
"69835cef-9c17-4f08-a06d-bd83dcf497b3","NetflixOSS","INTERMEDIATE"
"f7e2c0a7-a8de-41c8-8b83-028a6223e7a0","Dependencies injections","INTERMEDIATE"
"69835cef-9c17-4f08-a06d-bd83dcf497b3","SpringBoot","INTERMEDIATE"
"69835cef-9c17-4f08-a06d-bd83dcf497b3","Design patterns","EXPERT"
"f7e2c0a7-a8de-41c8-8b83-028a6223e7a0","Kanban","INTERMEDIATE"
"f7e2c0a7-a8de-41c8-8b83-028a6223e7a0","NPM scripts","INTERMEDIATE"
"f7e2c0a7-a8de-41c8-8b83-028a6223e7a0","Ethical Hacking","INTERMEDIATE"
"f7e2c0a7-a8de-41c8-8b83-028a6223e7a0","Jira","ADVANCED"
"e20b8330-3847-4a95-a649-d6b6f5fa45a0","Arduino","NOVICE"
"e65c029c-430d-41e1-b677-b7318576ba9b","AWS IAM","INTERMEDIATE"
"7905ee3b-dcd9-4e8e-bcea-2efe939698d7","React","ADVANCED"
"fb11b5f8-2892-42f7-9e70-07b3e832516e","Appium","INTERMEDIATE"
"12bb7e32-50e9-43fc-a94d-0d49ecd566e3","MVC framework","ADVANCED"
"f7e2c0a7-a8de-41c8-8b83-028a6223e7a0","JMeter","INTERMEDIATE"
"7905ee3b-dcd9-4e8e-bcea-2efe939698d7","Arduino","NOVICE"
"f7e2c0a7-a8de-41c8-8b83-028a6223e7a0","Java","ADVANCED"
"f7e2c0a7-a8de-41c8-8b83-028a6223e7a0","SQL","INTERMEDIATE"
"69835cef-9c17-4f08-a06d-bd83dcf497b3","apache","ADVANCED"
"69835cef-9c17-4f08-a06d-bd83dcf497b3","Bash","ADVANCED"
"69835cef-9c17-4f08-a06d-bd83dcf497b3","Leading Teams","ADVANCED"
"69835cef-9c17-4f08-a06d-bd83dcf497b3","Distributed Queues","INTERMEDIATE"
"69835cef-9c17-4f08-a06d-bd83dcf497b3","Firebase","INTERMEDIATE"
"69835cef-9c17-4f08-a06d-bd83dcf497b3","Kafka","INTERMEDIATE"
"69835cef-9c17-4f08-a06d-bd83dcf497b3","Linux","ADVANCED"
"69835cef-9c17-4f08-a06d-bd83dcf497b3","PHP","INTERMEDIATE"
"69835cef-9c17-4f08-a06d-bd83dcf497b3","Serverless","INTERMEDIATE"
"69835cef-9c17-4f08-a06d-bd83dcf497b3","Spring","INTERMEDIATE"
"4390b505-4db6-4bbe-8505-7f938ef7bead","DNS","ADVANCED"
"f7e2c0a7-a8de-41c8-8b83-028a6223e7a0","Scala","NOVICE"
